WEB_CRLN_ID,DEPT_NM,ORG_NM,BD_NM,URL,USE_YN,ETC_1,ETC_2,ELMT_TR_CSS_INF,ELMT_TITLE_CSS_INF,ELMT_RO_REG_DT_CSS_INF,ELMT_RO_REG_DT_TYP_CD,ELMT_SLNM_CSS_INF,ELMT_RO_URL_CSS_INF,ELMT_RO_TITLE_CSS_INF,ELMT_RO_BDTXT_CSS_INF,ELMT_RO_START_DT_CSS_INF,ELMT_RO_END_DT_CSS_INF,ELMT_RO_START_END_DT_TYP_CD,ELMT_RO_FILE_NM_CSS_INF,ELMT_RO_FILE_URL_CSS_INF,
20030,과학기술정보통신부,한국철도기술연구원,입찰공고,http://www.krri.re.kr/_prog/_board/?code=sub06_060501&site_dvs_cd=kr&menu_dvs_cd=060501,Y,utf-8,,div.board_list table > tbody > tr,td.title a,td.date,YYYY-MM-DD,,http://www.krri.re.kr/_prog/_board,#txt > article > div > h2 > span.tit,#txt > article > div > div.board_viewDetail,#txt ul.board_viewInfo > li:nth-of-type(4),#txt ul.board_viewInfo > li:nth-of-type(4),YYYY-MM-DD~YYYY-MM-DD,#txt > article > div > ul > li.file > div > a,http://www.krri.re.kr/_prog/_board/,공고기간2018-04-02 ~ 2018-04-10
20031,과학기술정보통신부,한국철도기술연구원,공지사항,http://www.krri.re.kr/_prog/_board/?code=sub06_060101&site_dvs_cd=kr&menu_dvs_cd=060101,Y,utf-8,웹크롤링 적용중,div.board_list table > tbody > tr,td.title a,td.date,YYYY-MM-DD,,http://www.krri.re.kr/_prog/_board,#txt > article > div.board_view_header > h2 > span.tit,#txt > article > div > div.board_viewDetail,,,,#txt > article > div.board_view_header > ul > li.file > div > a,http://www.krri.re.kr/_prog/_board/,
20032,과학기술정보통신부,국가수리과학연구소,공지사항,https://www.nims.re.kr/notice/post/notification,Y,요청 지연 예외발생,,div.content_body div.board-item,p.bbs_tit a,span.date,YYYY-MM-DD,,https://www.nims.re.kr,#container > div.content_body > div.board_header > h2,#container > div.content_body > div.board_body,,,,onclick,,"onclick=""javascript:downLocation('1501523669085_7829.pdf', '2017년 하반기, 2018년 국제 연구교류 프로그램 공모 신청 요강.pdf');"""
20033,과학기술정보통신부,국가수리과학연구소,입찰공고,https://www.nims.re.kr/promote/post/bidding,Y,ModifyDate,Date 불필요한 정보 가공필요,div.content_body div.board-item,p.bbs_tit a,p.s_info,|YYYY-MM-DD,,https://www.nims.re.kr,#container > div.content_body > div.board_header > h2,#container > div.content_body > div.board_body,,,,onclick,,"onclick=""javascript:downLocation('1522141651987_6149.hwp', '입찰공고문(재공고).hwp');""
 입찰마감일 2018-04-02"
20034,과학기술정보통신부,국가핵융합연구소,공지사항,https://www.nfri.re.kr/kor/post/notice,Y,타이틀 불필요 정보(진행중),verify=False,div.board_list table > tbody > tr,td.title a,td:nth-of-type(3),YYYY-MM-DD,,https://www.nfri.re.kr/kor/post/,div.board_header > h4 > strong,div.board_body > div.txt,div.board_header > div.board_right > div > p,div.board_header > div.board_right > div > p,YYYY-MM-DD~YYYY-MM-DD,onclick,,"onclick=""javascript:downLocation('efcfdeaf3cfb4f7ba06feba4c2c55d48.hwp');""
 2017-12-29 ~ 2018-01-03"
20035,과학기술정보통신부,국가핵융합연구소,입찰공고,https://www.nfri.re.kr/kor/post/bidding_notice,Y,타이틀 불필요 정보(진행중),verify=False,div.board_list table > tbody > tr,td.title a,td:nth-of-type(3),YYYY-MM-DD,,https://www.nfri.re.kr/kor/post/,div.board_header > h4 > strong,div.board_body > div.txt,div.board_header > div.board_right > div > p,div.board_header > div.board_right > div > p,YYYY-MM-DD~YYYY-MM-DD,onclick,,"onclick=""javascript:downLocation('efcfdeaf3cfb4f7ba06feba4c2c55d48.hwp');""
 2017-12-29 ~ 2018-01-03"
20036,과학기술정보통신부,국가핵융합연구소,사업공고,https://www.nfri.re.kr/kor/post/business_notice,Y,타이틀 불필요 정보(진행중),verify=False,div.board_list table > tbody > tr,td.title a,td:nth-of-type(3),YYYY-MM-DD,,https://www.nfri.re.kr/kor/post/,div.board_header > h4 > strong,div.board_body > div.txt,div.board_header > div.board_right > div > p,div.board_header > div.board_right > div > p,YYYY-MM-DD~YYYY-MM-DD,onclick,,"onclick=""javascript:downLocation('efcfdeaf3cfb4f7ba06feba4c2c55d48.hwp');""
 2017-12-29 ~ 2018-01-03"
20037,과학기술정보통신부,한국정보통신기술협회,공지사항,http://www.tta.or.kr/news/notice.jsp,Y,,,table.board_list > tbody > tr,td.t_left a,td:nth-of-type(3),YYYY .MM .DD,,http://www.tta.or.kr/news/,div.content > div.board_view_info1 tbody > tr:nth-of-type(1) > td > span,div.content > div.board_view_info1 tbody > tr:nth-of-type(3) > td,,,,div.content > div.board_view_info1 tbody > tr:nth-of-type(4) > td > ul > li > a,http://www.tta.or.kr,
20038,과학기술정보통신부,한국정보통신기술협회,입찰공고,http://www.tta.or.kr/news/tender.jsp,Y,,추가,table.board_list > tbody > tr,td.t_left a,td:nth-of-type(3),YYYY .MM.DD,,http://www.tta.or.kr/news/,div.content > div.board_view_info1 tr:nth-of-type(1) > td > span,div.content > div.board_view_info1 tr:nth-of-type(3) > td,,,,div.content > div.board_view_info1 tr:nth-of-type(4) > td > ul > li > a,http://www.tta.or.kr,
20039,과학기술정보통신부,한국과학기술정보연구원,연구과제공모,https://www.kisti.re.kr/notifications/post/research-task,Y,,,div.bbs_list_box > div.board-item,p.bbs_tit a,span.date,YYYY-MM-DD,,https://www.kisti.re.kr,#content > div.board_header > h2,#content > div.board_body,,,,onclick,,"onclick=""javascript:downLocation('1499664657622_5660.hwp', '(붙임1)위탁연구과제 제안요청서.hwp');"""
20040,과학기술정보통신부,한국과학기술정보연구원,공지사항,http://www.kisti.re.kr/notifications/post/notice,Y,,,div.bbs_list_box > div.board-item,p.bbs_tit a,span.date,YYYY-MM-DD,,https://www.kisti.re.kr,#content > div.board_header > h2,#content > div.board_body,,,,onclick,,"onclick=""javascript:downLocation('1510637402301_8378.hwp', '열린정책자문단 참여 방법 안내.hwp');"""
20041,과학기술정보통신부,국가연구시설장비진흥센터,사업공고,http://www.nfec.go.kr/cop/bbs/BBSMSTR_000000000003/selectBoardList.do,Y,,수정,table.basic_table > tbody > tr,div.list_subject a,td.date,YYYY-MM-DD,,http://www.nfec.go.kr,div.prog_content tbody > tr:nth-of-type(1) > td,div.prog_content > div.tbl_cnts,,,,javascript,,"href=""javascript:fn_egov_downFile('FILE_000000000015694','2')"""
20042,과학기술정보통신부,정보통신기술진흥센터,입찰공고,https://www.iitp.kr/kr/1/notice/bid.it,Y,,,div.table-responsive table.one-title > tbody > tr,td.comment-group0 a,td:nth-of-type(4),YYYY-MM-DD,,onclick,,,,,,,,
20043,과학기술정보통신부,정보통신기술진흥센터,사업공고,https://www.iitp.kr/kr/1/business/businessApiList.it,Y,Date 불필요한 정보 가공 필요,추가,div.table-responsive table.one-title > tbody > tr,td.comment-group0 a,td:nth-of-type(3),YYYY.MM.DD,,ajax 파일다운로드,div.bbs_view_tit > strong,div.bbs_view_cnt,#notice_area > div.bbs_view_info > span:nth-of-type(1),#notice_area > div.bbs_view_info > span:nth-of-type(1),YYYY-MM-DD~YYYY-MM-DD,ajax,http://ezone.iitp.kr,
20044,과학기술정보통신부,정보통신기술진흥센터,사업공고,https://www.iitp.kr/kr/1/business/businessApiList.it?pageIndex=1&pageSize=10,Y,Date 불필요한 정보 가공 필요,추가,div.table-responsive table.one-title > tbody > tr,td.comment-group0 a,td:nth-of-type(3),YYYY.MM.DD,,ajax 파일다운로드,div.bbs_view_tit > strong,div.bbs_view_cnt,#notice_area > div.bbs_view_info > span:nth-of-type(1),#notice_area > div.bbs_view_info > span:nth-of-type(1),YYYY-MM-DD~YYYY-MM-DD,ajax,http://ezone.iitp.kr,
20045,산업통상자원부,산업통상자원부,공고,http://www.motie.go.kr/motie/ms/nt/announce3/bbs/bbsList.do?bbs_cd_n=6,Y,타이틀에 … 표시,수정,div.common_list table > tbody > tr,td.al a,td:nth-of-type(4),YYYY-MM-DD,,http://www.motie.go.kr/motie/ms/nt/announce3/bbs/,#content div.common_list tbody > tr.firstT > td,#content div.common_list tbody > tr:nth-of-type(5) > td,,,,#content div.common_list tbody > tr.last > td > span > a,http://www.motie.go.kr,
20046,산업통상자원부,산업통상자원부,사업공고,http://www.motie.go.kr/motie/ne/announce2/bbs/bbsList.do?bbs_cd_n=6&biz_anc_yn_c=Y,Y,타이틀에 … 표시,추가,div.common_list table > tbody > tr,td.al a,td:nth-of-type(4),YYYY-MM-DD,,http://www.motie.go.kr/motie/ms/nt/announce3/bbs/,#content div.common_list tbody > tr.firstT > td,#content div.common_list tbody > tr:nth-of-type(5) > td,,,,#content div.common_list tbody > tr.last > td > span > a,http://www.motie.go.kr,
20047,산업통상자원부,한국산업기술평가관리원,공지,http://www.keit.re.kr/articles.do?psStep=list&bbsCD=notice&shCategoryCD=&gbn=03_31,Y,,수정,div.pc_board table.table_col > tbody > tr,td.lf a,td:nth-of-type(5),YYYY-MM-DD,,http://www.keit.re.kr,#contentPrint > div.sub_detailed > ul > li:nth-of-type(1) > h5,#contentPrint > div.sub_detailed > ul > li.big,,,,#contentPrint > div.sub_detailed > ul > li.small > div > a,http://www.keit.re.kr,
20048,산업통상자원부,산업기술R&D정보포탈,사업공고-지원사업공고,https://itech.keit.re.kr/index.do#02010100,X,NoDate,추가,,,,,,,,,,,,,,
20049,산업통상자원부,산업기술R&D정보포탈,사업공고-과제기획공고,https://itech.keit.re.kr/index.do#00010000,Y,Ajax,추가,#sub_con table > tbody > tr,td:nth-of-type(4) a,td:nth-of-type(5),YYYY-MM-DD,"#circle1 > a,#inbmenu ul > li:nth-child(2) a",onclick,,,,,,,,
20050,산업통상자원부,한국세라믹기술원,공지사항,http://www.kicet.re.kr/Front/BoardEx/List?MenuNo=5050100&SettingNo=1,Y,Date 불필요한 정보 가공 필요,,div.contents-body table > tbody > tr,td.subject a,td.period,YYYY-MM-DD,,href=javascript,,,,,,,,
20051,산업통상자원부,한국세라믹기술원,입찰공고,http://www.kicet.re.kr/Front/BoardEx/List?MenuNo=5050200&SettingNo=7,Y,Date 불필요한 정보 가공 필요,추가,div.contents-body table > tbody > tr,td.subject a,td.period,YYYY-MM-DD,,href=javascript,,,,,,,,
20052,산업통상자원부,한국디자인진흥원,사업부 전체소식,http://kidp.or.kr/?menuno=1202,Y,,수정,table.board01-list > tbody > tr,td.left a,td:nth-of-type(3),YYYY-MM-DD,,onclick,,,,,,,,
20053,산업통상자원부,한국디자인진흥원,입찰정보,http://kidp.or.kr/?menuno=1012,Y,,추가,table.board01-list > tbody > tr,td.left a,td:nth-of-type(3),YYYY-MM-DD,,onclick,,,,,,,,
20054,산업통상자원부,한국산업기술진흥원,입찰공고,http://www.kiat.or.kr/site/contents/inform/index3.jsp?menuID=001001003&boardTypeID=306,Y,타이틀에 … 표시,,table.sub5_tab > tbody > tr,td:nth-of-type(3) a,td:nth-of-type(4),YYYY-MM-DD,,onclick,#oForm tbody > tr:nth-of-type(1) > td.borrt_no,#oForm tbody > tr:nth-of-type(4) > td,#oForm tbody > tr:nth-of-type(3) > td.txt_center,,,"#oForm tbody > tr > td > a[href^=""http://kiat.or.kr/site/inc/download""]",,
20055,산업통상자원부,한국산업기술진흥원,사업공고,http://www.kiat.or.kr/site/contents/inform/index2.jsp?menuID=001001002&boardTypeID=304,Y,,,table.sub5_tab > tbody > tr,td:nth-of-type(3) a,td:nth-of-type(4),YYYY-MM-DD,,onclick,,,#oForm tbody > tr:nth-of-type(3) > td.txt_center,#oForm tbody > tr:nth-of-type(3) > td.txt_center,YYYY-MM-DD~YYYY-MM-DD,,,
20056,산업통상자원부,한국제품안전협회,공고게시판,http://www.ksafety.kr/community/announce_list.asp,Y,Ajax,,div#content tbody > tr,td:nth-of-type(2) a,td:nth-of-type(4),YYYY-MM-DD,,400에러 발생,#content > div.lineBlue tbody > tr:nth-of-type(1) > td,#content > div.lineBlue tbody > tr:nth-of-type(4) > td,,,,#content > div.lineBlue tbody > tr:nth-of-type(3) > td > a,http://www.ksafety.kr,
20057,산업통상자원부,한국소재부품투자기관협의회,공지사항,http://www.kitia.or.kr/contents/information/notice_list.asp,Y,Ajax,tr th,#DIV_LIST > table > tbody > tr,td:nth-of-type(3) a,td:nth-of-type(5),YYYY-MM-DD,#submenu > div.sub_list > ul > li:nth-child(1) > a,,,,,,,,,
20058,산업통상자원부,국토연구원,입찰/위탁공고/견적,http://www.krihs.re.kr/notice/bidconList.do?ref=1,Y,,수정,div.prg_list table > tbody > tr,td.text_l a,td:nth-of-type(3),YYYY.MM.DD,,http://www.krihs.re.kr,#content tbody > tr:nth-of-type(1) > td,#content > div.board_con,,,,#content tbody > tr:nth-of-type(3) > td > p > a,http://www.krihs.re.kr,
20059,산업통상자원부,국토연구원,공지사항,http://www.krihs.re.kr/notice/bidconList.do?ref=3,Y,,,div.prg_list table > tbody > tr,td.text_l a,td:nth-of-type(3),YYYY.MM.DD,,http://www.krihs.re.kr,#content tbody > tr:nth-of-type(1) > td,#content > div.board_con,,,,#content tbody > tr:nth-of-type(3) > td > p > a,http://www.krihs.re.kr,
20060,산업통상자원부,대외경제정책연구원,공지사항,http://www.kiep.go.kr/sub/list.do?bbsId=notice,Y,,,table.brdList > tbody > tr,td.al a,td:nth-of-type(3),YYYY.MM.DD,,onclick,,,,,,,,
20061,산업통상자원부,산업연구원,공지사항,http://www.kiet.re.kr/kiet_web/?sub_num=48,Y,,,table.tbrd > tbody > tr,td.tt a,td.dt,YYYY.MM.DD,,http://www.kiet.re.kr,#contents > div.bcontainer tbody > tr.vtt > td,#contents > div.bcontainer div.view-content,,,,#contents > div.bcontainer tbody > tr.vdw > td > a,http://www.kiet.re.kr,파일명 수정필요
20062,산업통상자원부,에너지경제연구원,알립니다,http://www.keei.re.kr/main.nsf/index_mobile.html?open&p=%2Fweb_keei%2Fallim.nsf%2Floadview&s=%3Fopenpage%26viewname%3Dmain_notice%26restricttocategory%3D%25EC%2595%258C%25EB%25A6%25BD%25EB%258B%2588%25EB%258B%25A4%26Count%3D12%26start%3D1%26category%3Dnt,X,Ajax,Selenium 적용 불가능,,,,,,,,,,,,,,
20063,산업통상자원부,한국개발연구원,공지사항,http://www.kdi.re.kr/news/notice_list.jsp?board_div=total,Y,,,div.rpt_conts ul > li.Js_AjaxParents,a:nth-of-type(1),div.rpt_sup span,YYYY/MM/DD,,http://www.kdi.re.kr/news,#content p.view_rpt_title,#content div.view_editor_box,,,,#content div.download_list > ul > li > a,http://www.kdi.re.kr,
20064,산업통상자원부,한국교육개발원,공지사항,https://www.kedi.re.kr/khome/main/announce/listNoticeAnnounceForm.do,Y,Ajax,,#listAnnounceBody tbody > tr,td.tlink a,td:nth-of-type(4),YYYY.MM.DD,,onclick,,,,,,,,
20065,산업통상자원부,한국교육개발원,입찰공고,https://www.kedi.re.kr/khome/main/announce/listBidAnnounceForm.do,Y,Ajax,,#listAnnounceBody tbody > tr,td.tlink a,td:nth-of-type(4),YYYY.MM.DD,,onclick,,,,,,,,
20066,산업통상자원부,한국교통연구원,입찰공고,https://www.koti.re.kr/user/bbs/BD_selectBbsList.do?q_bbsCode=1009,X,,웹크롤링 적용중,ul.list_news03 > li,p.tit a,td:nth-of-type(2),YYYY-MM-DD,,,,,,,,,,
20067,산업통상자원부,한국환경정책평가연구원,공지사항,http://www.kei.re.kr/home/board/notice/list.kei,Y,,,table#dataList > tbody > tr,td.tl a,td:nth-of-type(3),YYYY-MM-DD,,href=javascript,,,,,,,,
20068,산업통상자원부,한국환경정책평가연구원,입찰안내,http://www.kei.re.kr/home/board/bidding/list.kei,Y,,,table#dataList > tbody > tr,td.tl a,td:nth-of-type(3),YYYY-MM-DD,,href=javascript,,,,,,,,
20069,고용노동부,고용노동부,공지사항,http://www.moel.go.kr/news/notice/noticeList.do,Y,,수정,table.tbl > tbody > tr,td:nth-of-type(2) a,td:nth-of-type(5),YYYY.MM.DD,,http://www.moel.go.kr,#txt div.b_info > dl:nth-of-type(1) > dd,#txt div.b_info > div.b_content,,,,"#txt div.b_info > dl.b_file > dd > ul > li > a[href^=""/common/downloadFile""]",http://www.moel.go.kr,
